"Agency_ID","Pax_ID","Booking_ID","Ar_Trans_ID","agt_id","ar_Tran_Date","ar_Tran_time","ar_Mode","ar_oper","ar_flight_num","ar_class","ar_dep_date","ar_arr_Date","ar_dep_city","ar_arr_city","ar_dep_time","ar_arr_time","ar_maj_orig","ar_maj_dest","ar_base_Val","ar_tax_Val","ar_ttl_Comm","ar_tkt_num","ar_conf_num","ar_exch","ar_exch_Val","ar_exch_orig","ar_hi_fare","ar_lo_fare","ar_reason","ar_inv_Num","ar_pax_count"
"91282774","63965","20","1","KP","20170110","0000","A","QR","QR16","I","20170314","","LHR","DOH","2155","0735","LHR","HKG","180","267.53","100","1133338114","2H9W7E","N","0","","447.53","447.53","ADC","6297459","1"
"91282774","63965","20","1","KP","20170110","0000","A","QR","QR816","I","20170319","","DOH","HKG","0835","2055","LHR","HKG","180","267.53","100","1133338114","2H9W7E","N","0","","447.53","447.53","ADC","6297459","1"
"91282774","63965","20","1","KP","20170110","0000","A","QR","QR945","I","20170326","","SIN","DOH","0205","0525","LHR","HKG","180","267.53","100","1133338114","2H9W7E","N","0","","447.53","447.53","ADC","6297459","1"
"91282774","63965","20","1","KP","20170110","0000","A","QR","QR29","I","20170326","","DOH","EDI","0705","1230","LHR","HKG","180","267.53","100","1133338114","2H9W7E","N","0","","447.53","447.53","ADC","6297459","1"
"91282774","91440","37","1","KG","20170202","0000","A","YY","YY1581","Y","20170207","","LHR","CDG","1210","1425","LHR","CDG","12.5","0","0","<none>","3BKD32","N","0","","277.37","12.5","AIR","6297461","1"
"91282774","91440","37","1","KG","20170202","0000","A","YY","YY1080","Y","20170209","","CDG","LHR","1805","1820","LHR","CDG","12.5","0","0","<none>","3BKD32","N","0","","277.37","12.5","AIR","6297461","1"
"91282774","95102","5","1","TG","20170202","0000","A","VS","VS103","Z","20170213","","LHR","ATL","0935","1430","LHR","JAX","2343","531.07","1200","1133338103","WQGS1K","N","0","","3716.74","2874.07","QBT","6297462","1"
"91282774","95102","5","1","TG","20170202","0000","A","VS","VS5123","Z","20170213","","ATL","JAX","1633","1744","LHR","JAX","2343","531.07","1200","1133338103","WQGS1K","N","0","","3716.74","2874.07","QBT","6297462","1"
"91282774","95102","5","1","TG","20170202","0000","A","VS","VS5156","Z","20170216","","JAX","ATL","1649","1808","LHR","JAX","2343","531.07","1200","1133338103","WQGS1K","N","0","","3716.74","2874.07","QBT","6297462","1"
"91282774","95102","5","1","TG","20170202","0000","A","VS","VS4044","Z","20170216","","ATL","LHR","1917","0825","LHR","JAX","2343","531.07","1200","1133338103","WQGS1K","N","0","","3716.74","2874.07","QBT","6297462","1"
"91282774","95915","13","1","WS","20170202","0000","A","EK","EK74","T","20170319","","CDG","DXB","1425","0015","CDG","DXB","164","281.1","0","1133338121","XPQ82E","N","0","","445.1","445.1","LFOA","6297464","1"
"91282774","95915","13","1","WS","20170202","0000","A","EK","EK75","L","20170324","","DXB","CDG","1450","1930","CDG","DXB","164","281.1","0","1133338121","XPQ82E","N","0","","445.1","445.1","LFOA","6297464","1"
"91282774","71945","47","1","TR","20170202","0000","A","KL","CZ7811","E","20170216","","BHX","AMS","0925","1140","BHX","CAN","705","306.73","0","1133338122","VWC22U","N","0","","1011.73","1011.73","LFOA","6297467","1"
"91282774","71945","47","1","TR","20170202","0000","A","KL","CZ308","E","20170216","","AMS","CAN","1230","0645","BHX","CAN","705","306.73","0","1133338122","VWC22U","N","0","","1011.73","1011.73","LFOA","6297467","1"
"91282774","71945","47","1","TR","20170202","0000","A","KL","CZ307","K","20170222","","CAN","AMS","0005","0555","BHX","CAN","705","306.73","0","1133338122","VWC22U","N","0","","1011.73","1011.73","LFOA","6297467","1"
"91282774","71945","47","1","TR","20170202","0000","A","KL","KL1421","M","20170222","","AMS","BHX","0825","0840","BHX","CAN","705","306.73","0","1133338122","VWC22U","N","0","","1011.73","1011.73","LFOA","6297467","1"
"91282774","70990","2","1","JH","20170202","0000","A","EW","EW1331","B","20170206","","BHX","DUS","0745","1005","BHX","DUS","391","51.73","0","1133338123","X3HKPC","N","0","","442.73","442.73","LFOA","6297468","1"
"91282774","70990","2","1","JH","20170202","0000","A","EW","EW1338","G","20170207","","DUS","BHX","1910","1930","BHX","DUS","391","51.73","0","1133338123","X3HKPC","N","0","","442.73","442.73","LFOA","6297468","1"
"91282774","97163","7","1","WS","20170202","0000","A","AY","AY4001","O","20170419","","MAD","DFW","1115","1455","MAD","LAS","441","311","0","1133338124","XRR0XE","N","0","","752","752","LFOA","6297470","1"
"91282774","97163","7","1","WS","20170202","0000","A","AY","AA431","O","20170419","","DFW","LAS","2040","2143","MAD","LAS","441","311","0","1133338124","XRR0XE","N","0","","752","752","LFOA","6297470","1"
"91282774","97163","7","1","WS","20170202","0000","A","AY","AA2289","O","20170428","","LAS","DFW","0900","1343","MAD","LAS","441","311","0","1133338124","XRR0XE","N","0","","752","752","LFOA","6297470","1"
"91282774","97163","7","1","WS","20170202","0000","A","AY","AA36","O","20170428","","DFW","MAD","1640","0900","MAD","LAS","441","311","0","1133338124","XRR0XE","N","0","","752","752","LFOA","6297470","1"
"91282774","98437","1","1","DW","20170202","0000","A","AA","AA0851","N","20170301","","IND","CLT","0900","1047","IND","AUA","702","182.8","100","1181401869","3BVDYY","N","0","","","","","6297471","2"
"91282774","98437","1","1","DW","20170202","0000","A","AA","AA0876","N","20170301","","CLT","AUA","1145","1651","IND","AUA","702","182.8","100","1181401869","3BVDYY","N","0","","","","","6297471","2"
"91282774","98437","1","1","DW","20170202","0000","A","AA","AA2677","O","20170306","","AUA","CLT","1746","2107","IND","AUA","702","182.8","100","1181401869","3BVDYY","N","0","","","","","6297471","2"
"91282774","98437","1","1","DW","20170202","0000","A","AA","AA4405","O","20170306","","CLT","IND","2209","2347","IND","AUA","702","182.8","100","1181401869","3BVDYY","N","0","","","","","6297471","2"
"91282774","90348","55","1","EO","20170201","0000","A","VS","VS11","E","20170212","","LHR","BOS","1645","1920","LHR","BOS","812","367.57","100","1133338116","L1QPH2","N","0","","1579.57","1179.57","QBT","6297472","1"
"91282774","90348","55","1","EO","20170201","0000","A","VS","VS12","S","20170215","","BOS","LHR","2140","0900","LHR","BOS","812","367.57","100","1133338116","L1QPH2","N","0","","1579.57","1179.57","QBT","6297472","1"
"91282774","10151","89","1","KP","20170113","0000","A","KL","KL964","U","20170219","","NCL","AMS","1735","1955","NCL","LIN","156.4","0","0","1133338125","XZGTVE","N","0","","156.4","156.4","ADC","6297482","1"
"91282774","10151","89","1","KP","20170113","0000","A","KL","KL1635","U","20170219","","AMS","LIN","2115","2245","NCL","LIN","156.4","0","0","1133338125","XZGTVE","N","0","","156.4","156.4","ADC","6297482","1"
"91282774","10151","89","1","KP","20170113","0000","A","KL","KL1624","N","20170222","","LIN","AMS","1310","1500","NCL","LIN","156.4","0","0","1133338125","XZGTVE","N","0","","156.4","156.4","ADC","6297482","1"
"91282774","10151","89","1","KP","20170113","0000","A","KL","KL963","N","20170222","","AMS","NCL","1630","1645","NCL","LIN","156.4","0","0","1133338125","XZGTVE","N","0","","156.4","156.4","ADC","6297482","1"
"91282774","85604","124","1","KG","20170110","0000","A","U2","U28577","Y","20170206","","LGW","BCN","1605","1910","LGW","BCN","64.22","0","0","<none>","ERMLTHC","N","0","","121.33","64.22","LOW","6297485","1"
"91282774","85604","124","1","KG","20170110","0000","A","U2","U28578","Y","20170207","","BCN","LGW","1945","2105","LGW","BCN","64.22","0","0","<none>","ERMLTHC","N","0","","121.33","64.22","LOW","6297485","1"
"91282774","33440","147","1","ET","20161018","0000","A","BA","BA754","N","20170327","","LHR","BSL","1520","1800","LHR","BSL","83","0","15.11","1133338083","BFPBF8","N","0","","83","83","ADC","6297488","1"
"91282774","33440","147","1","ET","20161018","0000","A","BA","BA753","Q","20170330","","BSL","LHR","1155","1240","LHR","BSL","83","0","15.11","1133338083","BFPBF8","N","0","","83","83","ADC","6297488","1"
"91282774","98090","7","1","MK","20170203","0000","A","FR","FR8364","","20170201","","SVQ","STN","1640","1835","SVQ","STN","115.72","0","11.37","<none>","AN36US","N","0","","0","0","","6297491","1"
"91282774","98434","2","1","EO","20170201","0000","A","VS","VS115","O","20170502","","LHR","ATL","1100","1530","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","5044962","1"
"91282774","98434","2","1","EO","20170201","0000","A","VS","VS104","O","20170510","","ATL","LHR","1805","0725","LHR","ATL","0","369.57","0","<none>","NG08ZE","N","0","","0","0","ADC","5044962","1"
