"Agency_ID","Pax_ID","booking_id","Tran_id","Inv_Type","Inv_Tran_Date","Inv_Tran_Time","Inv_Val","inv_num"
"91282774","97736","2","3","I","20170203","112414","17.98","6297507"
"91282774","93708","20","1","I","20170203","113152","3755.4","6297509"
"91282774","93708","20","2","I","20170203","113152","93.88","6297509"
"91282774","93708","20","3","I","20170203","113446","909","6297510"
"91282774","93708","20","4","I","20170203","113446","22.72","6297510"
"91282774","76225","2","1","I","20170203","113505","201.85","6297511"
"91282774","76225","2","2","I","20170203","113505","0","6297511"
"91282774","76225","2","3","I","20170203","113505","0","6297511"
"91282774","97798","1","4","I","20170203","113717","8","6297513"
"91282774","66816","62","1","I","20170203","113706","96.98","6297512"
"91282774","66816","62","2","I","20170203","113706","10","6297512"
"91282774","66816","62","3","I","20170203","113706","0","6297512"
"91282774","75847","52","4","I","20170203","114725","530","6297515"
"91282774","97966","4","2","I","20170203","114137","19","6297514"
"91282774","97966","4","3","I","20170203","114137","10.35","6297514"
"91282774","75847","52","5","I","20170203","114725","13.25","6297515"
"91282774","70017","17","5","I","20170203","114840","75","6297516"
"91282774","93083","5","1","I","20170203","114940","3164.2","6297517"
"91282774","93083","5","2","I","20170203","114940","35","6297517"
"91282774","93083","6","1","I","20170203","115210","389.2","6297518"
"91282774","93083","6","3","I","20170203","115210","25","6297518"
"91282774","97966","5","1","I","20170203","115421","351.97","6297519"
"91282774","97966","5","3","I","20170203","115421","19","6297519"
"91282774","97966","5","4","I","20170203","115421","9.27","6297519"
"91282774","98344","1","4","I","20170203","120048","719.02","6297520"
"91282774","98344","1","5","I","20170203","120048","80","6297520"
"91282774","98344","1","6","I","20170203","120048","19.98","6297520"
"91282774","98444","2","1","I","20170203","121441","303","6297521"
"91282774","98444","2","2","I","20170203","121441","25","6297521"
"91282774","79638","12","1","I","20170203","121653","10.75","6297522"
"91282774","79850","6","1","I","20170203","122243","534.2","6297523"
"91282774","79850","6","2","I","20170203","122243","25","6297523"
"91282774","10487","10","1","I","20170203","122504","451.3","6297524"
"91282774","10487","10","2","I","20170203","122504","25","6297524"
"91282774","10487","10","3","I","20170203","122504","0","6297524"
"91282774","93215","17","5","I","20170203","122642","11.1","6297525"
"91282774","93215","17","6","I","20170203","122642","12.5","6297525"
"91282774","93849","3","4","I","20170203","123007","167.2","6297526"
"91282774","84131","71","1","I","20170203","123356","15","6297527"
"91282774","98445","1","1","I","20170203","123625","378.1","6297528"
"91282774","98445","1","2","I","20170203","123625","25","6297528"
"91282774","98445","1","3","I","20170203","123625","0","6297528"
"91282774","95502","4","4","I","20170203","124521","428.82","6297530"
"91282774","90609","19","1","I","20170203","124120","220.2","6297529"
"91282774","90609","19","2","I","20170203","124120","0","6297529"
"91282774","90609","19","3","I","20170203","124120","0","6297529"
"91282774","90609","19","4","I","20170203","124120","0","6297529"
"91282774","90609","19","5","I","20170203","124120","0","6297529"
"91282774","95502","4","5","I","20170203","124521","283.74","6297530"
"91282774","90935","26","1","I","20170203","124931","45.8","6297532"
"91282774","67079","23","1","I","20170203","124930","72.5","6297531"
"91282774","67079","23","2","I","20170203","124930","15","6297531"
"91282774","95727","12","1","I","20170203","125055","220.2","6297533"
"91282774","98446","1","1","I","20170203","125119","214.18","6297534"
"91282774","98446","1","2","I","20170203","125119","25","6297534"
"91282774","85604","106","4","I","20170203","125516","88.35","6297535"
"91282774","85604","106","5","I","20170203","125516","10","6297535"
"91282774","94703","4","1","I","20170203","130015","449.33","6297536"
"91282774","94703","4","2","I","20170203","130015","15","6297536"
"91282774","9722","95","1","I","20170203","130731","132.93","6297537"
"91282774","9722","95","2","I","20170203","130731","25","6297537"
"91282774","9722","95","3","I","20170203","130731","0","6297537"
"91282774","97163","8","1","I","20170203","131009","242.2","6297538"
"91282774","97163","8","2","I","20170203","131009","10","6297538"
"91282774","97163","8","3","I","20170203","131009","5.04","6297538"
"91282774","86715","107","1","I","20170203","131431","199.25","6297539"
"91282774","86715","107","2","I","20170203","131431","3.5","6297539"
"91282774","67134","245","1","I","20170203","131550","146","6297540"
"91282774","67134","245","2","I","20170203","131550","3.5","6297540"
"91282774","98355","2","1","I","20170203","131822","688","6297542"
"91282774","86715","108","1","I","20170203","131720","199.25","6297541"
"91282774","86715","108","2","I","20170203","131720","3.5","6297541"
"91282774","78085","69","4","I","20170203","132250","63","6297544"
"91282774","86715","109","1","I","20170203","132137","199.25","6297543"
"91282774","86715","109","2","I","20170203","132137","3.5","6297543"
"91282774","65334","325","1","I","20170203","132414","224.6","6297545"
"91282774","65334","325","2","I","20170203","132414","25","6297545"
"91282774","72259","41","6","I","20170203","132631","144.65","6297546"
"91282774","96674","2","1","I","20170203","133101","3226.1","6297547"
"91282774","96674","2","2","I","20170203","133101","35","6297547"
"91282774","98435","1","5","I","20170203","133156","1532.8","6297548"
"91282774","15417","44","3","I","20170203","133704","6","6297549"
"91282774","83100","16","2","I","20170203","133904","6","6297550"
"91282774","60764","71","1","I","20170203","134125","48.75","6297551"
"91282774","60764","71","2","I","20170203","134125","25","6297551"
"91282774","61736","120","3","I","20170203","134144","6","6297552"
"91282774","98447","1","1","I","20170203","134206","73.7","6297553"
"91282774","98447","1","2","I","20170203","134206","20","6297553"
"91282774","98447","1","3","I","20170203","134206","0","6297553"
"91282774","60764","72","1","I","20170203","134629","48.75","6297554"
"91282774","60764","72","2","I","20170203","134629","25","6297554"
"91282774","60764","73","1","I","20170203","140133","25","6297558"
"91282774","90981","10","1","I","20170203","135940","154.5","6297555"
"91282774","90981","10","2","I","20170203","135940","3.5","6297555"
"91282774","94678","4","1","I","20170203","140111","32.1","6297557"
"91282774","32339","25","1","I","20170203","140056","186.95","6297556"
